station_id,year,era5_runoff_mm
23505,2000,717.85614
23505,2001,738.7434
23505,2002,883.2546
23505,2003,356.44467
23505,2004,269.95554
23505,2005,521.6795
23505,2006,493.04626
23505,2007,665.4722
23505,2008,559.7777
23505,2009,535.4623
23505,2010,606.7996
23505,2011,500.68777
23505,2012,517.50397
23505,2013,671.6934
23505,2014,466.87692
23505,2015,438.7233
23505,2016,534.1364
23505,2017,376.9371
23505,2018,490.92966
23505,2019,333.514
23506,2000,458.6633
23506,2001,447.71265
23506,2002,637.5264
23506,2003,284.8408
23506,2004,277.0867
23506,2005,410.03476
23506,2006,396.4694
23506,2007,517.3264
23506,2008,382.7836
23506,2009,387.53287
23506,2010,442.78592
23506,2011,377.61017
23506,2012,334.9583
23506,2013,430.64868
23506,2014,262.58557
23506,2015,297.71097
23506,2016,316.2328
23506,2017,279.27957
23506,2018,327.626
23506,2019,177.96265
23507,2000,611.80566
23507,2001,619.73315
23507,2002,705.22516
23507,2003,351.57657
23507,2004,455.58298
23507,2005,459.99033
23507,2006,381.5469
23507,2007,752.56177
23507,2008,443.4872
23507,2009,461.98874
23507,2010,465.8526
23507,2011,386.65753
23507,2012,527.20325
23507,2013,466.63266
23507,2014,408.76895
23507,2015,422.30206
23507,2016,454.79785
23507,2017,411.3098
23507,2018,405.97705
23507,2019,270.03577
23509,2000,1048.9343
23509,2001,1105.0165
23509,2002,1226.6642
23509,2003,486.68454
23509,2004,672.9833
23509,2005,708.43866
23509,2006,944.01337
23509,2007,1160.5988
23509,2008,779.2418
23509,2009,863.9244
23509,2010,828.4542
23509,2011,611.1075
23509,2012,944.2304
23509,2013,1026.9467
23509,2014,839.3223
23509,2015,757.4989
23509,2016,923.9247
23509,2017,672.87994
23509,2018,889.15173
23509,2019,803.57166
23510,2000,252.81303
23510,2001,362.12308
23510,2002,206.92538
23510,2003,176.66493
23510,2004,60.147522
23510,2005,80.79447
23510,2006,94.117325
23510,2007,147.31975
23510,2008,231.93452
23510,2009,133.53407
23510,2010,191.41992
23510,2011,214.02338
23510,2012,70.54244
23510,2013,219.9543
23510,2014,195.24562
23510,2015,207.29176
23510,2016,204.17963
23510,2017,100.49378
23510,2018,190.17711
23510,2019,49.23419
23511,2000,459.0017
23511,2001,377.74518
23511,2002,682.83484
23511,2003,324.90704
23511,2004,336.5659
23511,2005,484.1027
23511,2006,447.06802
23511,2007,509.27084
23511,2008,421.03635
23511,2009,473.9972
23511,2010,414.88684
23511,2011,414.36615
23511,2012,396.2681
23511,2013,513.3796
23511,2014,272.85632
23511,2015,312.57047
23511,2016,306.1218
23511,2017,361.59192
23511,2018,311.95248
23511,2019,259.77597
23512,2000,674.2013
23512,2001,598.7969
23512,2002,1031.0684
23512,2003,347.0741
23512,2004,481.88565
23512,2005,650.0116
23512,2006,651.53925
23512,2007,588.05115
23512,2008,561.1213
23512,2009,688.6792
23512,2010,539.7566
23512,2011,444.967
23512,2012,585.8933
23512,2013,618.4267
23512,2014,504.3804
23512,2015,416.34735
23512,2016,523.05853
23512,2017,427.59763
23512,2018,491.72714
23512,2019,540.77527
23514,2000,674.2013
23514,2001,598.7969
23514,2002,1031.0684
23514,2003,347.0741
23514,2004,481.88565
23514,2005,650.0116
23514,2006,651.53925
23514,2007,588.05115
23514,2008,561.1213
23514,2009,688.6792
23514,2010,539.7566
23514,2011,444.967
23514,2012,585.8933
23514,2013,618.4267
23514,2014,504.3804
23514,2015,416.34735
23514,2016,523.05853
23514,2017,427.59763
23514,2018,491.72714
23514,2019,540.77527
23522,2000,413.30017
23522,2001,404.58835
23522,2002,610.9494
23522,2003,284.45288
23522,2004,212.86957
23522,2005,381.1637
23522,2006,373.6424
23522,2007,448.1984
23522,2008,379.05164
23522,2009,342.08282
23522,2010,417.7885
23522,2011,363.21136
23522,2012,294.72952
23522,2013,408.1554
23522,2014,237.36427
23522,2015,267.9164
23522,2016,279.0346
23522,2017,245.96469
23522,2018,318.0218
23522,2019,152.43042
23525,2000,361.60135
23525,2001,331.15372
23525,2002,527.1199
23525,2003,298.42337
23525,2004,194.9749
23525,2005,368.60666
23525,2006,322.54648
23525,2007,314.94412
23525,2008,337.8253
23525,2009,361.2732
23525,2010,415.8975
23525,2011,384.25287
23525,2012,302.42737
23525,2013,451.65512
23525,2014,237.03555
23525,2015,251.5918
23525,2016,229.14601
23525,2017,283.1115
23525,2018,225.46251
23525,2019,154.65373
23527,2000,674.2013
23527,2001,598.7969
23527,2002,1031.0684
23527,2003,347.0741
23527,2004,481.88565
23527,2005,650.0116
23527,2006,651.53925
23527,2007,588.05115
23527,2008,561.1213
23527,2009,688.6792
23527,2010,539.7566
23527,2011,444.967
23527,2012,585.8933
23527,2013,618.4267
23527,2014,504.3804
23527,2015,416.34735
23527,2016,523.05853
23527,2017,427.59763
23527,2018,491.72714
23527,2019,540.77527
23528,2000,496.10837
23528,2001,433.10104
23528,2002,731.0793
23528,2003,336.9255
23528,2004,399.90186
23528,2005,521.1279
23528,2006,483.2379
23528,2007,575.2188
23528,2008,445.54074
23528,2009,534.6651
23528,2010,490.56766
23528,2011,446.97888
23528,2012,439.23
23528,2013,589.4766
23528,2014,322.66324
23528,2015,334.0493
23528,2016,353.40897
23528,2017,419.30093
23528,2018,322.46008
23528,2019,294.8296
23530,2000,508.9214
23530,2001,507.95663
23530,2002,421.27313
23530,2003,290.88452
23530,2004,162.13695
23530,2005,233.86404
23530,2006,271.07172
23530,2007,398.67172
23530,2008,410.32516
23530,2009,271.12897
23530,2010,358.83994
23530,2011,322.64847
23530,2012,243.52481
23530,2013,446.80692
23530,2014,348.27927
23530,2015,330.3474
23530,2016,393.16394
23530,2017,177.92358
23530,2018,370.1725
23530,2019,172.44658
23531,2000,674.2013
23531,2001,598.7969
23531,2002,1031.0684
23531,2003,347.0741
23531,2004,481.88565
23531,2005,650.0116
23531,2006,651.53925
23531,2007,588.05115
23531,2008,561.1213
23531,2009,688.6792
23531,2010,539.7566
23531,2011,444.967
23531,2012,585.8933
23531,2013,618.4267
23531,2014,504.3804
23531,2015,416.34735
23531,2016,523.05853
23531,2017,427.59763
23531,2018,491.72714
23531,2019,540.77527
23532,2000,362.51672
23532,2001,381.3541
23532,2002,631.08826
23532,2003,284.90076
23532,2004,199.88057
23532,2005,363.0509
23532,2006,347.67087
23532,2007,341.60645
23532,2008,381.9135
23532,2009,317.66876
23532,2010,402.32898
23532,2011,339.91882
23532,2012,262.28357
23532,2013,411.9458
23532,2014,234.13109
23532,2015,257.6901
23532,2016,268.3074
23532,2017,228.98541
23532,2018,302.00192
23532,2019,159.87332
23533,2000,362.51672
23533,2001,381.3541
23533,2002,631.08826
23533,2003,284.90076
23533,2004,199.88057
23533,2005,363.0509
23533,2006,347.67087
23533,2007,341.60645
23533,2008,381.9135
23533,2009,317.66876
23533,2010,402.32898
23533,2011,339.91882
23533,2012,262.28357
23533,2013,411.9458
23533,2014,234.13109
23533,2015,257.6901
23533,2016,268.3074
23533,2017,228.98541
23533,2018,302.00192
23533,2019,159.87332
23534,2000,252.1851
23534,2001,277.4238
23534,2002,449.1698
23534,2003,270.20074
23534,2004,105.236244
23534,2005,235.45564
23534,2006,191.42587
23534,2007,151.33997
23534,2008,219.81998
23534,2009,273.1787
23534,2010,366.4106
23534,2011,320.86313
23534,2012,179.54715
23534,2013,332.32343
23534,2014,157.08916
23534,2015,182.2885
23534,2016,164.56047
23534,2017,195.0532
23534,2018,151.94757
23534,2019,72.65558
23536,2000,611.80566
23536,2001,619.73315
23536,2002,705.22516
23536,2003,351.57657
23536,2004,455.58298
23536,2005,459.99033
23536,2006,381.5469
23536,2007,752.56177
23536,2008,443.4872
23536,2009,461.98874
23536,2010,465.8526
23536,2011,386.65753
23536,2012,527.20325
23536,2013,466.63266
23536,2014,408.76895
23536,2015,422.30206
23536,2016,454.79785
23536,2017,411.3098
23536,2018,405.97705
23536,2019,270.03577
23537,2000,413.30017
23537,2001,404.58835
23537,2002,610.9494
23537,2003,284.45288
23537,2004,212.86957
23537,2005,381.1637
23537,2006,373.6424
23537,2007,448.1984
23537,2008,379.05164
23537,2009,342.08282
23537,2010,417.7885
23537,2011,363.21136
23537,2012,294.72952
23537,2013,408.1554
23537,2014,237.36427
23537,2015,267.9164
23537,2016,279.0346
23537,2017,245.96469
23537,2018,318.0218
23537,2019,152.43042
23562,2000,2036.2489
23562,2001,2312.5173
23562,2002,1591.901
23562,2003,1062.0702
23562,2004,1873.1036
23562,2005,909.214
23562,2006,1218.7402
23562,2007,1300.229
23562,2008,1962.7556
23562,2009,1868.7827
23562,2010,1765.1945
23562,2011,1555.6471
23562,2012,1674.9658
23562,2013,1842.4797
23562,2014,2115.1475
23562,2015,1615.3231
23562,2016,1567.803
23562,2017,1416.942
23562,2018,1837.0371
23562,2019,1786.6683
23563,2000,2777.345
23563,2001,2436.837
23563,2002,2320.0015
23563,2003,973.1167
23563,2004,1917.5396
23563,2005,986.1946
23563,2006,1410.308
23563,2007,1455.6326
23563,2008,2458.5305
23563,2009,2072.4346
23563,2010,2342.6094
23563,2011,1900.7114
23563,2012,2224.9604
23563,2013,2080.9783
23563,2014,3069.4907
23563,2015,1725.504
23563,2016,2110.2854
23563,2017,1368.7711
23563,2018,2252.6433
23563,2019,2154.3665
23564,2000,2036.2489
23564,2001,2312.5173
23564,2002,1591.901
23564,2003,1062.0702
23564,2004,1873.1036
23564,2005,909.214
23564,2006,1218.7402
23564,2007,1300.229
23564,2008,1962.7556
23564,2009,1868.7827
23564,2010,1765.1945
23564,2011,1555.6471
23564,2012,1674.9658
23564,2013,1842.4797
23564,2014,2115.1475
23564,2015,1615.3231
23564,2016,1567.803
23564,2017,1416.942
23564,2018,1837.0371
23564,2019,1786.6683
23565,2000,1878.7267
23565,2001,1413.1951
23565,2002,1635.0983
23565,2003,470.90656
23565,2004,975.9212
23565,2005,445.8769
23565,2006,812.55084
23565,2007,836.1261
23565,2008,1678.356
23565,2009,1269.3314
23565,2010,1480.3921
23565,2011,1098.1053
23565,2012,1340.7777
23565,2013,1350.8113
23565,2014,2088.9353
23565,2015,1042.2039
23565,2016,1243.3293
23565,2017,764.5911
23565,2018,1455.0581
23565,2019,1459.927
23566,2000,2315.707
23566,2001,1675.5927
23566,2002,2055.3018
23566,2003,683.3081
23566,2004,1394.104
23566,2005,761.77454
23566,2006,1122.597
23566,2007,1037.615
23566,2008,1856.3574
23566,2009,1592.6145
23566,2010,1964.0889
23566,2011,1367.8192
23566,2012,1602.9618
23566,2013,1665.023
23566,2014,2522.824
23566,2015,1358.8206
23566,2016,1635.3098
23566,2017,942.6051
23566,2018,1776.9562
23566,2019,1863.044
23567,2000,2315.707
23567,2001,1675.5927
23567,2002,2055.3018
23567,2003,683.3081
23567,2004,1394.104
23567,2005,761.77454
23567,2006,1122.597
23567,2007,1037.615
23567,2008,1856.3574
23567,2009,1592.6145
23567,2010,1964.0889
23567,2011,1367.8192
23567,2012,1602.9618
23567,2013,1665.023
23567,2014,2522.824
23567,2015,1358.8206
23567,2016,1635.3098
23567,2017,942.6051
23567,2018,1776.9562
23567,2019,1863.044
23597,2000,316.4275
23597,2001,367.841
23597,2002,263.65805
23597,2003,207.9728
23597,2004,187.70888
23597,2005,158.42992
23597,2006,276.82874
23597,2007,226.5225
23597,2008,257.59482
23597,2009,272.4319
23597,2010,275.21622
23597,2011,270.35208
23597,2012,276.247
23597,2013,266.60934
23597,2014,219.51544
23597,2015,244.23607
23597,2016,203.65575
23597,2017,154.61134
23597,2018,335.56628
23597,2019,206.49512
23598,2000,182.65765
23598,2001,243.97064
23598,2002,228.50894
23598,2003,165.45982
23598,2004,194.71802
23598,2005,199.5252
23598,2006,184.6542
23598,2007,226.937
23598,2008,183.56993
23598,2009,160.49815
23598,2010,240.8316
23598,2011,296.78665
23598,2012,193.27206
23598,2013,199.95314
23598,2014,140.20444
23598,2015,179.69168
23598,2016,111.62721
23598,2017,189.22075
23598,2018,228.77985
23598,2019,159.77875
23603,2000,392.21292
23603,2001,324.50476
23603,2002,387.47086
23603,2003,215.70894
23603,2004,386.34064
23603,2005,299.1282
23603,2006,336.6207
23603,2007,472.32822
23603,2008,385.25095
23603,2009,243.74948
23603,2010,328.33798
23603,2011,428.98175
23603,2012,403.60736
23603,2013,264.86807
23603,2014,273.18826
23603,2015,318.02054
23603,2016,248.34804
23603,2017,246.0571
23603,2018,323.72678
23603,2019,248.59143
38201,2000,556.4311
38201,2001,508.5448
38201,2002,939.08923
38201,2003,338.18594
38201,2004,402.97354
38201,2005,547.9985
38201,2006,545.3166
38201,2007,533.8951
38201,2008,486.98575
38201,2009,578.85223
38201,2010,482.53625
38201,2011,432.35272
38201,2012,479.35434
38201,2013,608.1644
38201,2014,392.33533
38201,2015,326.0379
38201,2016,406.9652
38201,2017,378.37076
38201,2018,395.45135
38201,2019,428.21765
38202,2000,556.4311
38202,2001,508.5448
38202,2002,939.08923
38202,2003,338.18594
38202,2004,402.97354
38202,2005,547.9985
38202,2006,545.3166
38202,2007,533.8951
38202,2008,486.98575
38202,2009,578.85223
38202,2010,482.53625
38202,2011,432.35272
38202,2012,479.35434
38202,2013,608.1644
38202,2014,392.33533
38202,2015,326.0379
38202,2016,406.9652
38202,2017,378.37076
38202,2018,395.45135
38202,2019,428.21765
38203,2000,542.83185
38203,2001,482.76462
38203,2002,874.4421
38203,2003,313.89066
38203,2004,367.3038
38203,2005,584.3795
38203,2006,521.726
38203,2007,380.86038
38203,2008,453.94537
38203,2009,525.9941
38203,2010,488.4988
38203,2011,317.3708
38203,2012,460.78333
38203,2013,511.1192
38203,2014,421.19403
38203,2015,372.29593
38203,2016,462.10388
38203,2017,336.36224
38203,2018,363.30212
38203,2019,433.26254
38204,2000,714.16766
38204,2001,606.8093
38204,2002,1088.694
38204,2003,378.87415
38204,2004,556.1826
38204,2005,692.87854
38204,2006,679.1806
38204,2007,631.6735
38204,2008,640.567
38204,2009,761.3603
38204,2010,597.6499
38204,2011,506.68167
38204,2012,609.7242
38204,2013,695.2121
38204,2014,590.123
38204,2015,379.09973
38204,2016,550.5379
38204,2017,451.98334
38204,2018,494.09235
38204,2019,576.2782
38205,2000,720.57697
38205,2001,606.5274
38205,2002,1093.5953
38205,2003,380.79486
38205,2004,546.51245
38205,2005,684.07623
38205,2006,685.5164
38205,2007,654.3581
38205,2008,637.41034
38205,2009,746.61414
38205,2010,583.378
38205,2011,506.95856
38205,2012,605.7691
38205,2013,698.0451
38205,2014,564.69147
38205,2015,385.41055
38205,2016,534.588
38205,2017,457.578
38205,2018,509.5756
38205,2019,572.1488
38206,2000,630.6576
38206,2001,549.9135
38206,2002,990.53424
38206,2003,337.97507
38206,2004,454.84988
38206,2005,642.963
38206,2006,611.78644
38206,2007,502.9384
38206,2008,547.58453
38206,2009,652.2686
38206,2010,522.92377
38206,2011,394.58896
38206,2012,554.21576
38206,2013,589.2034
38206,2014,491.65408
38206,2015,396.68518
38206,2016,526.7192
38206,2017,388.19315
38206,2018,439.47208
38206,2019,513.20105
38207,2000,286.9804
38207,2001,286.37567
38207,2002,494.55353
38207,2003,271.83453
38207,2004,138.02736
38207,2005,289.7608
38207,2006,269.55722
38207,2007,232.83308
38207,2008,316.1985
38207,2009,243.79587
38207,2010,314.7146
38207,2011,310.08005
38207,2012,209.15953
38207,2013,351.22684
38207,2014,190.73615
38207,2015,213.84285
38207,2016,196.80988
38207,2017,176.61508
38207,2018,222.7226
38207,2019,104.17387
38208,2000,513.2402
38208,2001,502.5301
38208,2002,671.33704
38208,2003,312.8004
38208,2004,284.23444
38208,2005,490.09875
38208,2006,447.90866
38208,2007,461.15744
38208,2008,450.04996
38208,2009,477.46503
38208,2010,576.0551
38208,2011,372.23553
38208,2012,502.09714
38208,2013,507.85608
38208,2014,259.5776
38208,2015,305.87134
38208,2016,361.0245
38208,2017,510.49698
38208,2018,305.3051
38208,2019,320.19064
38209,2000,198.64626
38209,2001,288.261
38209,2002,177.36021
38209,2003,84.93733
38209,2004,285.72195
38209,2005,279.01334
38209,2006,137.64998
38209,2007,252.89214
38209,2008,357.3313
38209,2009,227.92726
38209,2010,292.95105
38209,2011,197.73051
38209,2012,392.68805
38209,2013,257.12198
38209,2014,209.40831
38209,2015,224.16747
38209,2016,247.65086
38209,2017,282.41885
38209,2018,335.17905
38209,2019,195.78824
38210,2000,529.5348
38210,2001,421.38892
38210,2002,319.98282
38210,2003,259.7697
38210,2004,392.64996
38210,2005,463.83954
38210,2006,293.47415
38210,2007,393.52078
38210,2008,490.19424
38210,2009,310.16345
38210,2010,429.4503
38210,2011,321.5467
38210,2012,507.07565
38210,2013,382.57645
38210,2014,398.43332
38210,2015,604.8174
38210,2016,609.02606
38210,2017,433.35162
38210,2018,388.89938
38210,2019,409.37573
38211,2000,529.5348
38211,2001,421.38892
38211,2002,319.98282
38211,2003,259.7697
38211,2004,392.64996
38211,2005,463.83954
38211,2006,293.47415
38211,2007,393.52078
38211,2008,490.19424
38211,2009,310.16345
38211,2010,429.4503
38211,2011,321.5467
38211,2012,507.07565
38211,2013,382.57645
38211,2014,398.43332
38211,2015,604.8174
38211,2016,609.02606
38211,2017,433.35162
38211,2018,388.89938
38211,2019,409.37573
38212,2000,190.65747
38212,2001,224.25922
38212,2002,260.13977
38212,2003,34.02421
38212,2004,104.03966
38212,2005,205.12102
38212,2006,144.4184
38212,2007,235.21355
38212,2008,268.95798
38212,2009,199.08937
38212,2010,136.45319
38212,2011,124.04411
38212,2012,270.21027
38212,2013,243.9204
38212,2014,152.40067
38212,2015,196.60123
38212,2016,127.41387
38212,2017,91.29044
38212,2018,234.70222
38212,2019,162.878
38213,2000,474.3238
38213,2001,408.3952
38213,2002,319.97446
38213,2003,316.26056
38213,2004,543.60767
38213,2005,375.60312
38213,2006,387.78094
38213,2007,525.42957
38213,2008,578.38715
38213,2009,395.78665
38213,2010,410.58047
38213,2011,378.78683
38213,2012,663.88544
38213,2013,418.65823
38213,2014,511.96228
38213,2015,624.0541
38213,2016,556.1553
38213,2017,543.2111
38213,2018,521.934
38213,2019,440.34204
38214,2000,346.8929
38214,2001,367.45233
38214,2002,258.19836
38214,2003,175.94171
38214,2004,395.12338
38214,2005,371.3253
38214,2006,265.26697
38214,2007,336.6652
38214,2008,496.3033
38214,2009,283.20197
38214,2010,292.89435
38214,2011,314.86328
38214,2012,554.0492
38214,2013,337.38593
38214,2014,316.00314
38214,2015,359.92477
38214,2016,347.63638
38214,2017,397.38608
38214,2018,416.66516
38214,2019,279.72797
38242,2000,963.7811
38242,2001,909.6916
38242,2002,600.13696
38242,2003,686.33997
38242,2004,851.1747
38242,2005,662.91406
38242,2006,824.0081
38242,2007,820.1307
38242,2008,883.41034
38242,2009,788.1704
38242,2010,897.76245
38242,2011,885.20905
38242,2012,864.35834
38242,2013,768.2648
38242,2014,1088.7346
38242,2015,1005.7194
38242,2016,602.70654
38242,2017,841.44775
38242,2018,704.53577
38242,2019,884.35876
38312,2000,1191.1635
38312,2001,841.19934
38312,2002,667.4235
38312,2003,683.4303
38312,2004,874.7546
38312,2005,530.3013
38312,2006,927.66315
38312,2007,637.85834
38312,2008,906.3464
38312,2009,941.515
38312,2010,537.8296
38312,2011,950.76404
38312,2012,672.5538
38312,2013,785.93066
38312,2014,1231.7598
38312,2015,903.4634
38312,2016,735.658
38312,2017,907.258
38312,2018,743.08
38312,2019,1089.9116
38314,2000,1504.4518
38314,2001,956.0622
38314,2002,729.9446
38314,2003,916.44226
38314,2004,975.3891
38314,2005,622.86096
38314,2006,1072.4161
38314,2007,771.5162
38314,2008,1010.34406
38314,2009,1133.9962
38314,2010,799.7913
38314,2011,1010.42065
38314,2012,884.95447
38314,2013,976.1982
38314,2014,1466.502
38314,2015,1070.4923
38314,2016,751.1049
38314,2017,1098.8602
38314,2018,849.80475
38314,2019,1065.0468
38315,2000,1611.0288
38315,2001,1239.1348
38315,2002,1482.5092
38315,2003,1288.592
38315,2004,1529.7671
38315,2005,1881.965
38315,2006,1392.129
38315,2007,1779.8608
38315,2008,1511.6244
38315,2009,1520.2072
38315,2010,1358.3829
38315,2011,1526.1217
38315,2012,1862.4475
38315,2013,1352.7959
38315,2014,1151.9655
38315,2015,1473.4818
38315,2016,1308.5194
38315,2017,1847.5323
38315,2018,1260.9481
38315,2019,1540.7096
38316,2000,457.12064
38316,2001,283.5532
38316,2002,292.57874
38316,2003,320.24835
38316,2004,332.3514
38316,2005,355.43918
38316,2006,287.10004
38316,2007,385.2952
38316,2008,298.0874
38316,2009,245.55717
38316,2010,384.12433
38316,2011,363.4395
38316,2012,285.62622
38316,2013,280.51086
38316,2014,287.07376
38316,2015,307.49985
38316,2016,304.69827
38316,2017,405.6162
38316,2018,266.03653
38316,2019,305.64532
38319,2000,657.6019
38319,2001,661.36584
38319,2002,595.4064
38319,2003,384.15088
38319,2004,531.40094
38319,2005,636.96643
38319,2006,546.1999
38319,2007,479.16272
38319,2008,629.0208
38319,2009,545.9867
38319,2010,764.8037
38319,2011,534.79736
38319,2012,420.00043
38319,2013,502.4179
38319,2014,625.65625
38319,2015,433.5209
38319,2016,513.6029
38319,2017,603.1556
38319,2018,477.41556
38319,2019,513.77234
38352,2000,590.68634
38352,2001,418.41028
38352,2002,354.8268
38352,2003,263.60342
38352,2004,433.42886
38352,2005,340.00055
38352,2006,531.8589
38352,2007,506.6989
38352,2008,523.30914
38352,2009,410.35147
38352,2010,414.85538
38352,2011,501.27917
38352,2012,549.50946
38352,2013,294.7691
38352,2014,570.29456
38352,2015,448.35703
38352,2016,383.58728
38352,2017,361.4656
38352,2018,314.85342
38352,2019,487.89078
38364,2000,571.58856
38364,2001,419.88437
38364,2002,385.46588
38364,2003,248.37988
38364,2004,402.0862
38364,2005,346.473
38364,2006,530.2569
38364,2007,528.3949
38364,2008,535.6516
38364,2009,409.76834
38364,2010,385.45242
38364,2011,481.6265
38364,2012,516.1826
38364,2013,304.6797
38364,2014,545.72815
38364,2015,451.48526
38364,2016,384.47095
38364,2017,360.38297
38364,2018,342.1742
38364,2019,458.09467
38391,2000,467.07315
38391,2001,402.43604
38391,2002,297.80695
38391,2003,253.60924
38391,2004,222.07173
38391,2005,225.588
38391,2006,357.55508
38391,2007,248.36473
38391,2008,295.33627
38391,2009,327.01874
38391,2010,290.60406
38391,2011,319.9275
38391,2012,347.72598
38391,2013,270.83963
38391,2014,282.0217
38391,2015,334.52618
38391,2016,258.05994
38391,2017,203.73534
38391,2018,367.15033
38391,2019,257.4662
38394,2000,347.8189
38394,2001,320.47772
38394,2002,359.26956
38394,2003,228.10538
38394,2004,347.63614
38394,2005,271.89212
38394,2006,304.55612
38394,2007,375.8635
38394,2008,328.95264
38394,2009,235.6913
38394,2010,341.9783
38394,2011,415.88617
38394,2012,308.93643
38394,2013,264.17188
38394,2014,252.81993
38394,2015,290.52417
38394,2016,216.60829
38394,2017,242.69527
38394,2018,302.67987
38394,2019,229.5671
38402,2000,537.3066
38402,2001,464.66934
38402,2002,272.19803
38402,2003,191.25484
38402,2004,217.40382
38402,2005,298.51077
38402,2006,303.79718
38402,2007,262.56244
38402,2008,327.39185
38402,2009,405.53796
38402,2010,328.6378
38402,2011,343.09152
38402,2012,428.98666
38402,2013,287.4776
38402,2014,386.39685
38402,2015,418.41345
38402,2016,285.87805
38402,2017,239.72888
38402,2018,347.01993
38402,2019,300.93118
38418,2000,1267.1005
38418,2001,707.17004
38418,2002,1087.0168
38418,2003,644.6167
38418,2004,1109.4452
38418,2005,920.67365
38418,2006,1036.0028
38418,2007,877.06573
38418,2008,1222.5349
38418,2009,1078.4304
38418,2010,662.40393
38418,2011,980.9751
38418,2012,1154.3993
38418,2013,881.15765
38418,2014,1120.2223
38418,2015,1206.826
38418,2016,878.97015
38418,2017,991.8947
38418,2018,875.83405
38418,2019,1037.1337
38422,2000,1187.0986
38422,2001,701.5311
38422,2002,818.49493
38422,2003,546.976
38422,2004,884.6266
38422,2005,683.78314
38422,2006,740.7197
38422,2007,927.14343
38422,2008,1069.9285
38422,2009,781.8523
38422,2010,534.1426
38422,2011,614.5794
38422,2012,1001.5054
38422,2013,702.8449
38422,2014,856.432
38422,2015,891.173
38422,2016,904.4261
38422,2017,678.86633
38422,2018,738.4011
38422,2019,874.5609
38428,2000,542.57166
38428,2001,396.93494
38428,2002,636.7849
38428,2003,341.97726
38428,2004,389.8767
38428,2005,405.53812
38428,2006,456.42047
38428,2007,459.8827
38428,2008,521.33716
38428,2009,561.96576
38428,2010,433.73904
38428,2011,459.13342
38428,2012,567.1331
38428,2013,519.3039
38428,2014,607.60614
38428,2015,495.2237
38428,2016,511.6577
38428,2017,402.96228
38428,2018,473.52838
38428,2019,527.4444
38432,2000,1375.176
38432,2001,1138.0974
38432,2002,1266.5844
38432,2003,931.6286
38432,2004,1555.1272
38432,2005,1594.8464
38432,2006,1384.3307
38432,2007,1534.8215
38432,2008,1556.5864
38432,2009,1375.2266
38432,2010,876.5051
38432,2011,1582.3477
38432,2012,1260.8934
38432,2013,1305.2325
38432,2014,1516.7122
38432,2015,1607.4708
38432,2016,1247.7163
38432,2017,1328.3723
38432,2018,1222.7451
38432,2019,1348.5201
38434,2000,852.52075
38434,2001,678.8135
38434,2002,981.88513
38434,2003,414.30984
38434,2004,660.197
38434,2005,586.10693
38434,2006,659.7023
38434,2007,667.66187
38434,2008,778.2746
38434,2009,833.2244
38434,2010,661.2086
38434,2011,848.5029
38434,2012,783.5796
38434,2013,638.7595
38434,2014,1023.4858
38434,2015,698.367
38434,2016,805.3692
38434,2017,565.19543
38434,2018,609.6072
38434,2019,698.5967
38437,2000,1045.9097
38437,2001,675.18805
38437,2002,1058.3994
38437,2003,571.6394
38437,2004,864.1294
38437,2005,821.89624
38437,2006,881.43475
38437,2007,804.8159
38437,2008,998.51074
38437,2009,1059.0671
38437,2010,660.3648
38437,2011,962.7768
38437,2012,983.82556
38437,2013,787.1078
38437,2014,1109.5171
38437,2015,1056.5496
38437,2016,855.942
38437,2017,838.89966
38437,2018,801.0136
38437,2019,861.86316
